SID,Year,Lat,Lon,Core
M-12,2016,41.7611,-83.35456,
M-18,2016,41.70681367,-83.25009733,
M-34,2016,41.90025733,-83.2208825,
M-43,2016,41.82253667,-83.25678133,
M-53,2016,41.76036767,-83.21884633,
M-65,2016,41.70424033,-83.02408017,
M-67,2016,41.74697917,-83.01589117,
M-68,2016,41.74869467,-83.053782,
M-76,2016,41.73963233,-83.148642,
M-78,2016,41.67011633,-83.13992167,
M-82,2016,41.82298433,-83.15169617,
M-89,2016,41.7707355,-83.01589117,
M-92,2016,41.76812483,-83.06148417,
M-94,2016,41.82082117,-83.09326633,
M-95,2016,41.82425233,-83.12553567,
M-100,2016,41.68544,-83.06509,
F-2,2016,41.81451,-83.2032,
F-3,2016,41.75129,-83.23102,
F-4,2016,41.75666667,-83.29333333,
W1-1,2022,41.76165,-83.3316,
W2-1,2022,41.70263,-83.2529,
W3-1,2022,41.65827,-83.1472,
W4-1,2022,41.829,-83.279,
W5-1,2022,41.758,-83.218,
W6-1,2022,41.7426,-83.1374,
W7-1,2022,41.664,-83.044,
W8-1,2022,41.893,-83.232,
W9-1,2022,41.82582,-83.1945,
W10-1,2022,41.806,-83.101,
W11-1,2022,41.753,-83.034,
W12-1,2022,41.661,-82.92,
W1-2,2022,41.76165,-83.3316,
W2-2,2022,41.70263,-83.2529,
W3-2,2022,41.65827,-83.1472,
W4-2,2022,41.829,-83.279,
W5-2,2022,41.758,-83.218,
W6-2,2022,41.7426,-83.1374,
W7-2,2022,41.664,-83.044,
W8-2,2022,41.893,-83.232,
W9-2,2022,41.82582,-83.1945,
W10-2,2022,41.806,-83.101,
W11-2,2022,41.753,-83.034,
W12-2,2022,41.661,-82.92,
WLE2-Ek,2023,41.70277,-83.2534,
WLE7-Ek,2023,41.71249,-83.01874,
WLE16-Ek,2023,41.67355,-82.94833,
WLE17-Ek,2023,41.82308,-83.13593,
WLE14,2023,41.76451,-83.03421,1
WLE13,2023,41.76104,-83.1951,1
WLE1,2023,41.75515,-83.30386,1
WLE1,2023,41.75515,-83.30386,1
WLE15,2023,41.7664,-82.8844,
MR1,2023,41.56675,-83.62644,
DR1,2023,41.95468,-83.1147,
WLE4,2023,41.82928,-83.27888,
WLE3,2023,41.6582,-83.14711,
WLE18,2024,41.789227,-83.06436,
WLE19,2024,41.684609,-83.08428,